CancerType,Year,Age,AgeSpecificRate,CaseCount,Population
'All Cancer Sites Combined','2016','1-4',22.1,3535,'15964200'
'All Cancer Sites Combined','2016','10-14',15.6,3224,'20627202'
'All Cancer Sites Combined','2016','15-19',24,5084,'21151384'
'All Cancer Sites Combined','2016','20-24',36,8051,'22384013'
'All Cancer Sites Combined','2016','25-29',60.2,13797,'22931428'
'All Cancer Sites Combined','2016','30-34',98,21412,'21841499'
'All Cancer Sites Combined','2016','35-39',146.1,30418,'20819289'
'All Cancer Sites Combined','2016','40-44',227.4,44872,'19732444'
'All Cancer Sites Combined','2016','45-49',348.5,73074,'20967634'
'All Cancer Sites Combined','2016','5-9',13.3,2726,'20429504'
'All Cancer Sites Combined','2016','50-54',560.9,122556,'21851429'
'All Cancer Sites Combined','2016','55-59',829.3,182339,'21987314'
'All Cancer Sites Combined','2016','60-64',1156.3,225365,'19490888'
'All Cancer Sites Combined','2016','65-69',1571.8,264524,'16829553'
'All Cancer Sites Combined','2016','70-74',1893.7,223764,'11816452'
'All Cancer Sites Combined','2016','75-79',2117.3,177317,'8374755'
'All Cancer Sites Combined','2016','80-84',2198.3,129034,'5869693'
'All Cancer Sites Combined','2016','85+',1982.4,126512,'6381877'
'All Cancer Sites Combined','2016','<1',28.1,1112,'3955377'
