TR,WV,TR,Vx,Vy,Vz,Rotvel,Res,PT,VT,ST,TT,Power,,,,,,,,,,,,,
8,3,44.2,0,0,-3,-0.542986425,0.000001,-9580.5183,1412.0334,-8168.4849,-24505.4547,13306.12925,,,,,,,,,,,,,
7.9999,3.5,44.2,0,0,-3.5,-0.633484163,0.000001,"-13100
.069","1853.3
428",-11246.7262,-33740.1786,21373.8688,,,,,,,,,,,,,
8,4,44.2,0,0,-4,-0.723981,0.000001,"-17198
.721","2345.8
392",-14852.882,-44558.646,32259.65319,,,,,,,,,,,,,
8,4.5,44.2,0,0,4.5,-0.814479638,1.00E-06,-21847.252,2890.2035,-18957.0485,-56871.1455,46320.39,,,,,,,,,,,,,
8,5,44.2,0,0,-5,-0.90314,1.00E-06,-27222.316,3466.4971,-23755.818,-71267.454,64364.48841,,,,,,,,,,,,,
8,6,44.2,0,0,-6,-1.0859728,"1.00E-
06","-39194
.267","4814.3
395",-34379.928,-103139.784,112007,,,,,,,,,,,,,
8,7,44.2,0,0,-7,-1.2669683,"1.00E-
06","-53595
.183","6332.5
087",-47262.674,-141788.022,179640.9292,,,,,,,,,,,,,
8,8,44.2,0,0,-8,-1.447963801,"1.00E-
06","-70279
.445","8033.2
262",-62246.219,-186738.657,270390.8156,,,,,,,,,,,,,
8,9,44.2,0,0,-9,-1.628959276,"1.00E-
06","-89435
.496","9910.4
693",-79525.027,-238575.081,388629.0912,,,,,,,,,,,,,
8,9.2,44.2,0,0,-9.2,-1.665158,"1.00E-
06","-93506
.509","10306.
864",-83199.644,-249598.932,415621.6584,,,,,,,,,,,,,
8,9.4,44.2,0,0,-9.4,-1.701357,"1.00E-
06","-97569
.496","10710.
37",-86859.126,-260577.378,443335.1461,,,,,,,,,,,,,
7.9999,9.6,44.2,0,0,-9.6,-1.737556561,"1.00E-
06","-10182
9.88","11120.
463",-90709.414,-272128.242,472838.2123,,,,,,,,,,,,,
8,10,44.2,0,0,-10,-1.809954,"1.00E-
06","-11049
9.92","11961.
184",-98538.738,-295616.214,535051.749,,,,,,,,,,,,,
8,11,44.2,0,0,-11,-1.99095,"1.00E-
06","-13419
8.37","14180.
866",-120017.5,-360052.5,716846.5249,,,,,,,,,,,,,
8,12,44.2,0,0,-12,-2.22,"1.00E-
06","-14971
7.53","17458.
043",-132259.48,-396778.44,880848.1368,,,,,,,,,,,,,
7.99947,12.2,44.2,0,0,-12.2,-2.208,"1.00E-
06","-16543
0.43","17062.
353",-148368.07,-445104.21,982790.0957,,,,,,,,,,,,,
8,12.4,44.2,0,0,-12.4,-2.2443439,"1.00E-
06","-17098
7.12","17568.
809",-153418.31,-460254.93,1032970.345,,,,,,,,,,,,,
7.99999999,12.6,44.2,0,0,-12.6,-2.280542986,"1.00E-
06","-17667
7.39","18079.
169",-158598.22,-475794.66,1085070.175,,,,,,,,,,,,,
8,12.8,44.2,0,0,-12.8,-2.316742081,"1.00E-
06","-18230
6.06","18595.
789",-163710.27,-491130.81,1137823.415,,,,,,,,,,,,,
8,13,44.2,0,0,-13,-2.352941176,"1.00E-
06","-18817
7.31","19113.
989",-169063.32,-507189.96,1193388.141,,,,,,,,,,,,,
8,13.2,44.2,0,0,-13.2,-2.389140271,"1.00E-
06","-19408
7.67","19643.
795",-174443.88,-523331.64,1250312.696,,,,,,,,,,,,,
8,13.4,44.2,0,0,-13.4,-2.425339367,"1.00E-
06","-20010
2.64","20179.
887",-179922.75,-539768.25,1309121.186,,,,,,,,,,,,,
8,13.6,44.2,0,0,-13.6,-2.461538462,"1.00E-
06","-20611
2.23","20719.
884",-185392.35,-556177.05,1369051.2,,,,,,,,,,,,,
8,13.8,44.2,0,0,-13.8,-2.497737557,"1.00E-
06","-21229
6.2","21268.
791",-191027.4,-573082.2,1431408.934,,,,,,,,,,,,,
8,14,44.2,0,0,-14,-2.533936652,"1.00E-
06","-21857
0.21","21824.
091",-196746.12,-590238.36,1495626.61,,,,,,,,,,,,,
