C,SFE
0.063,14
0.071,17
0.057,20
0.09,30
0.04,16
0.04,20
0.04,30
0.04,40
0.028,19
0.03,36
0.05,8.1
0.03,17.5
0.0093,15
0.0053,21
0.0071,38.8
0.02,16
0.05,50
0.18,18.5
0.01,22
0.008,30
0.01,45
0.006,23
0.012,23
0.018,32
0.01,34
0.011,34
0.01,34
0.018,38
0.009,38
0.009,38
0.019,40
0.015,40
0.027,43
0.012,44
0.022,45
0.017,47
0.05,47
0.012,48
0.012,53
0.028,19.9
0.028,26.3
0.03,38.3
0.38,22.4
0.71,25.6
0.67,30.2
0.047,14
0.6,13
0.6,30
0.019,12.8
0.017,14.7
0.041,17.8
0.003,26
0.002,28
0.002,28
0.03,30
0.004,35
0.003,36
0.05,38
0.02,46
0.59,13.8
0.62,19.3
0.58,29.1
0.25,5
0.24,20
0.31,21
0.32,31
0.24,36
0.33,43.3
0.058,21
0.02,22
0.02,23
0.02,28
0.03,10.9
0.033,17.2
0.6,17
0.6,37
0.033,27.2
0.015,14.2
0.019,22.3
0.048,30.9
0.048,42.9
0.013,16
0.005,23
0.013,25
0.005,40
0.0004,16
0.0004,20
0.0004,22
0.0004,24
0.0004,26
0.0004,28
0.29,17
0.018,19
0.009,22
0.27,42
0.024,23
0.026,24
0.025,18
0.91,21
0.074,34
0.034,41
0.035,29
0.01,31
0.018,33
0.06,33
0.017,37
0.033,53
0.005,16.4
0.005,23.6
0.604,14.6
0.593,16.1
0.594,17
0.618,19.5
0.56,33.1
0.04,8
0.005,13
0.016,25
0.006,35
0.019,43
0.005,43
0.02,19.3
0.24,20.8
0.3,22.5
0.03,10.4
0.03,12.2
0.03,17.1
0.15,20.1
0.03,22.8
0.38,27.6
0.02,26.5
0.02,33
0.07,42
0.07,52
0.4,39
0.04,11
0.05,31
0.07,46
0.17965,6.33
0.149655,10.51
0.140513,14.69
0.209383,17.39
0.344,40
0.004,40
1.19,50
0.4,20
0.005,20
1.03,23
1.03,23
0.024,23
0.04,15.5
0.02,19.7
0.02,28
0.016,36.3
0.02,38.2
0.02,47.1
0.036,57
0.04,60
0.014,61.1
0.07,62
0.005,64
0.041,64
0.027,65
0.07,65
0.06,68
0.03,73
0.055,78
0.047,94
0.004,49.6
0.02,50.8
0.02,46.6
0.005,49.8
0.026,34.5
0.016,33.5
0.003,40.2
0.009,40.8
0.018,39.8
0.046,39.3
0.075,39.5
0.003,38.7
0.003,39
0.003,38.5
0.003,36.9
0.004,39.1
0.003,38.6
0.004,40.8
0.003,38.8
0.055,41.9
0.004,40.6
0.003,36.1
0.003,35.5
0.0006,49
0.002,49.7
0.002,52
0.003,46.8
0.074,48.9
0.002,46.3
0.003,43.4
0.05,53.1
0.05,43.1
0.018,39.5
0.02,42.3
0.02,45.5
0.021,47.5
0.022,53.2
0.021,48.3
0.019,42.1
0.017,41.9
0.018,41.9
0.019,48.9
0.021,37.6
0.019,37.5
0.019,41.5
0.018,41.6
0.018,50
0.02,66
0.017,55.5
0.018,40.9
0.018,40.5
0.024,49.5
0.03,50.4
0.023,47.9
0.02,32.4
0.02,40.5
0.03,25
0.047,20
0.026,16.9
0.026,25.8
0.03,22.4
0.026,30.9
0.039,21.6
0.03,30.3
