Ni,Cr,SFE
8.95,18.6,14
9.53,18.35,17
9.49,18.11,20
15,14.6,30
8,18,16
10,15,20
15,10,30
13.8,21.1,18
14,16.2,23
20.77,16.21,31
22,21,33
21.07,25.85,35
20.82,24.39,40
9.5,16.6,19
6.1,15.5,36
3.7,16.7,8.1
5.9,16.2,17.5
11.84,8.5,50
7,18,18.5
12.5,15.9,22
12,17.8,30
12.5,15.9,24
14.1,17.8,45
10,20,23
10,20,23
15,20,32
15,20,34
30,20,34
30,20,34
20,20,38
25,20,38
25,20,38
20,15,40
20,20,40
20,20,43
20,15,44
20,25,45
20,25,47
30,20,47
20,10,48
20,10,53
14.99,10.98,19.9
15.05,11.06,26.3
15.04,11.02,38.3
3.71,15.92,30.2
6.6,17.48,14
6.6,17.6,12.8
8.1,17.4,14.7
5.01,18.2,17.8
6.1,8.72,3.26
7.56,9.1,4.65
5.51,7.88,6.39
6.34,7.97,7.19
7.2,8.55,8.31
13.1,7.6,9.86
12.8,17.5,26
12.9,17.1,28
10.7,16.9,28
19.7,17.3,30
20,17.3,35
20,17.5,36
15.1,25,38
14,14.4,46
9.52,18,9.5
14.8,18.43,21
14.1,14.6,22
15.1,15.1,23
5.04,14.7,28
7.96,22.75,10.9
29.88,18.11,17.2
12.95,25.84,27.2
9.98,17.35,14.2
11.18,14.98,15.2
9.96,18.13,19.3
15.09,19.13,19.7
4.16,20.06,21.8
14.96,23.09,22.3
19.89,25.07,26
15.09,19.7,27.5
18.78,15.15,27.8
23.5,24.56,28
19.8,24.84,30.1
19.85,25.1,30.9
19.81,15.06,31.4
24.42,10,35.6
24.46,20.09,36
20.1,15.13,36.9
12.4,25,42.9
32,18,16
12.4,26,23
32,18,25
8,26,40
10,20,16
10,20,20
12,18,22
12,20,24
12,18,26
4.84,16,28
7,16.34,17
11.87,18,19
10.83,16.53,22
12.98,8.9,42
11.54,17.01,23
8.28,17.1,24
4.1,18.31,18
11.85,0,21
6.48,18.02,34
7.12,20.3,41
6.72,20.1,29
7.46,21,31
7.46,18.2,33
7.07,18.2,33
7.58,19.2,37
10.7,18.8,53
15.9,18.3,16.4
8.75,18.7,23.6
11.4,18.2,8
14.1,14.9,13
14,18,25
14.1,19,35
20.6,19,43
13.7,18.1,43
13.8,17.1,21
13.6,17.2,23
14.8,17.4,26
14,15.7,26.5
13.9,17.7,32.5
16.13,16.5,33
16.13,18.48,42
16.3,18.48,52
7.08,18.48,39
8.75,21.04,10
8.6,18.04,11
16.23,17.64,31
0.4,18.63,46
9,18.2,40
16,18.7,40
16,0.17,50
0.46,18,20
0.46,18,20
18.13,0.38,23
8.5,0.38,23
11.87,22.7,23
12.04,18.3,15.5
15.04,17.49,19.7
15,15.76,28
25,13.41,36.3
20,22,38.2
20,18,47.1
31.16,30,57
16.13,5,60
32,20.73,61.1
12.34,18.48,62
7.11,26,64
16.13,21.57,64
13.3,21,65
16.3,18.48,65
13.01,17.3,68
18.8,18.48,73
15.6,17.15,78
15.6,24.7,94
14,17.5,49.6
15.6,17.6,50.8
11.2,17.1,46.6
10.8,17.7,49.8
12.1,18.9,34.5
12.2,19,33.5
12,17,40.2
11.9,17,40.8
12,16.9,39.8
12,16.7,39.3
12,17,39.5
12.1,16.9,38.7
11.8,16.8,39
12.2,17.1,38.5
12,16.8,36.9
12,17.1,39.1
11.9,16.7,38.6
12,16.6,40.8
12.1,17,38.8
12,17.1,41.9
12,17.2,40.6
15.32,16.9,36.1
15.75,16.85,35.5
15.72,17.7,49
15.4,16.95,49.7
15.65,17.13,52
15.56,13.09,46.8
15.51,17.02,48.9
19.85,16.95,46.3
13.11,13.35,43.4
12.5,24.11,53.1
12.57,16.08,43.1
12.7,16.46,39.5
12.48,18.09,42.3
18.57,20.07,45.5
14.84,24.82,47.5
12.58,25.08,53.2
12.58,22.68,48.3
12.53,16.48,42.1
14.78,16.35,41.9
11.11,16.47,41.9
10.08,16.42,48.9
12.64,17.95,37.6
12.58,16.28,37.5
14.87,16.43,41.5
25.23,16.44,41.6
20.18,22.89,50
12.63,23.01,66
12.78,24.61,55.5
14.67,16.3,40.9
15.97,16.48,40.5
13.93,17.41,49.5
10.22,18.07,50.4
12.89,16.85,47.9
12.46,18.56,32.4
9.58,16.59,40.5
10.8,17.54,25
13.6,18.5,20
19.6,20.2,16.9
29.4,20.2,25.8
13.3,20.2,22.4
19.4,20.3,30.9
